[14/11/2025 17:01:45,50] Supprimé: chrome_BITS_18708_173828959 
[14/11/2025 17:01:45,50] Supprimé: chrome_BITS_3044_1213034313 
[14/11/2025 17:01:45,50] Supprimé: cortex-debug-server-exiting.log 
[14/11/2025 17:01:45,50] Supprimé: CreativeCloud 
[14/11/2025 17:01:45,51] Supprimé: CR_EAFB0.tmp 
[14/11/2025 17:01:45,52] Supprimé: csdevkit 
[14/11/2025 17:01:45,52] Supprimé: cursor-inno-updater-1762825262.log 
[14/11/2025 17:01:45,52] Supprimé: CUsersvischAppDataLocalProgramsOperaautoupdateopera_autoupdate.download.lock 
[14/11/2025 17:01:45,53] Supprimé: cvgt05c5.ltf 
[14/11/2025 17:01:45,53] Supprimé: cv_debug.log 
[14/11/2025 17:01:45,53] Supprimé: d0a0252e-cca8-413c-ba9c-7763c4c3a918.tmp 
[14/11/2025 17:01:45,53] Supprimé: d961a3fb-acbc-452e-952c-c05f67dfd747.tmp 
[14/11/2025 17:01:45,53] Supprimé: dc6a79ac-8a72-458f-ae2a-0933ccfcbf8e.tmp 
[14/11/2025 17:01:45,54] Supprimé: dd_BackgroundDownload_20251111033423.log 
[14/11/2025 17:01:45,54] Supprimé: dd_BackgroundDownload_20251111033423_00_setup.log 
[14/11/2025 17:01:45,54] Supprimé: dd_BackgroundDownload_20251111033423_00_setup_errors.log 
[14/11/2025 17:01:45,54] Supprimé: dd_BackgroundDownload_20251111033423_01_setup.log 
[14/11/2025 17:01:45,54] Supprimé: dd_BackgroundDownload_20251111033423_01_setup_errors.log 
[14/11/2025 17:01:45,54] Supprimé: dd_BackgroundDownload_20251111033423_result_Success.log 
[14/11/2025 17:01:45,56] Supprimé: dd_BackgroundDownload_20251111034615.log 
[14/11/2025 17:01:45,56] Supprimé: dd_BackgroundDownload_20251111035140.log 
[14/11/2025 17:01:45,56] Supprimé: dd_BackgroundDownload_20251112112206.log 
[14/11/2025 17:01:45,56] Supprimé: dd_BackgroundDownload_20251112112206_result_Error.log 
[14/11/2025 17:01:45,56] Supprimé: dd_BackgroundDownload_20251112164419.log 
[14/11/2025 17:01:45,56] Supprimé: dd_BackgroundDownload_20251112164419_result_Error.log 
[14/11/2025 17:01:45,58] Supprimé: dd_BackgroundDownload_20251113080250.log 
[14/11/2025 17:01:45,58] Supprimé: dd_BackgroundDownload_20251113080250_result_UpdateCheckOnlyFailure.log 
[14/11/2025 17:01:45,58] Supprimé: dd_BackgroundDownload_20251113080529.log 
[14/11/2025 17:01:45,58] Supprimé: dd_BackgroundDownload_20251113080529_result_UpdateCheckOnlyFailure.log 
[14/11/2025 17:01:45,58] Supprimé: dd_BackgroundDownload_20251113110529.log 
[14/11/2025 17:01:45,58] Supprimé: dd_BackgroundDownload_20251113110529_result_UpdateCheckOnlyFailure.log 
[14/11/2025 17:01:45,59] Supprimé: dd_BackgroundDownload_20251113231106.log 
[14/11/2025 17:01:45,59] Supprimé: dd_BackgroundDownload_20251113231106_result_Error.log 
[14/11/2025 17:01:45,59] Supprimé: dd_BackgroundDownload_20251114072906.log 
[14/11/2025 17:01:45,59] Supprimé: dd_BackgroundDownload_20251114072906_result_Error.log 
[14/11/2025 17:01:45,59] Supprimé: dd_BackgroundDownload_20251114074907.log 
[14/11/2025 17:01:45,59] Supprimé: dd_BackgroundDownload_20251114081208.log 
[14/11/2025 17:01:45,61] Supprimé: dd_BackgroundDownload_20251114081208_result_Error.log 
[14/11/2025 17:01:45,61] Supprimé: dd_BackgroundDownload_20251114085721.log 
[14/11/2025 17:01:45,61] Supprimé: dd_BackgroundDownload_20251114085721_result_Error.log 
[14/11/2025 17:01:45,61] Supprimé: dd_BackgroundDownload_20251114110248.log 
[14/11/2025 17:01:45,61] Supprimé: dd_BackgroundDownload_20251114110248_result_UpdateCheckOnlyFailure.log 
[14/11/2025 17:01:45,61] Supprimé: dd_BackgroundDownload_20251114110915.log 
[14/11/2025 17:01:45,62] Supprimé: dd_BackgroundDownload_20251114111329.log 
[14/11/2025 17:01:45,62] Supprimé: dd_BackgroundDownload_20251114111329_result_Error.log 
[14/11/2025 17:01:45,62] Supprimé: dd_BackgroundDownload_20251114114528.log 
[14/11/2025 17:01:45,62] Supprimé: dd_BackgroundDownload_20251114114528_result_Error.log 
[14/11/2025 17:01:45,62] Supprimé: dd_BackgroundDownload_20251114123645.log 
[14/11/2025 17:01:45,62] Supprimé: dd_BackgroundDownload_20251114123645_result_Error.log 
[14/11/2025 17:01:45,64] Supprimé: dd_BackgroundDownload_20251114134346.log 
[14/11/2025 17:01:45,64] Supprimé: dd_BackgroundDownload_20251114134346_result_Error.log 
[14/11/2025 17:01:45,64] Supprimé: dd_BackgroundDownload_20251114140525.log 
[14/11/2025 17:01:45,64] Supprimé: dd_BackgroundDownload_20251114140525_result_UpdateCheckOnlyFailure.log 
[14/11/2025 17:01:45,64] Supprimé: dd_BackgroundDownload_20251114161413.log 
[14/11/2025 17:01:45,64] Supprimé: dd_BackgroundDownload_20251114161413_result_Error.log 
[14/11/2025 17:01:45,65] Supprimé: dd_BackgroundDownload_20251114164000.log 
[14/11/2025 17:01:45,65] Supprimé: dd_vcredist_amd64_20251107171813.log 
[14/11/2025 17:01:45,65] Supprimé: dd_vcredist_amd64_20251107183640.log 
[14/11/2025 17:01:45,65] Supprimé: dd_vsdevcmd17_env.log 
[14/11/2025 17:01:45,65] Supprimé: dd_vsdevcmd17_preinit_env.log 
[14/11/2025 17:01:45,65] Supprimé: Diagnostics 
[14/11/2025 17:01:45,65] Supprimé: dotnet 
[14/11/2025 17:01:45,67] Supprimé: e0864633-f458-4bf6-aed7-ed13f3c696af.tmp 
[14/11/2025 17:01:45,67] Supprimé: e1b54805-2288-4939-9835-d7fa25146ebf.tmp 
[14/11/2025 17:01:45,67] Supprimé: e4166535-05dd-43f3-9565-e5c9a98d0a75.tmp 
[14/11/2025 17:01:45,67] Supprimé: e8f8f224-6cb6-4547-ad7f-d53d8660ab82.tmp 
[14/11/2025 17:01:45,67] Supprimé: e94df319-5239-4c4c-a3a7-9146b32c6a02.tmp 
[14/11/2025 17:01:45,67] Supprimé: e966c340-bd3f-4849-9fc4-1a4c5caf8eda.tmp 
[14/11/2025 17:01:45,69] Supprimé: ec8e315c-d4dc-4bd1-a0e3-ac6dcbc84878.tmp 
[14/11/2025 17:01:45,69] Supprimé: edgC55B.tmp 
[14/11/2025 17:01:45,69] Supprimé: efd75e10-a064-490a-ade7-783eea59b123.tmp 
[14/11/2025 17:01:45,69] Supprimé: enivluzb.1tz 
[14/11/2025 17:01:45,69] Supprimé: Epreuve Pratique POO 2025-2026 (2).pdf 
[14/11/2025 17:01:45,70] Supprimé: Epreuve Pratique POO 2025-2026 (3).pdf 
[14/11/2025 17:01:45,70] Supprimé: Epreuve Pratique POO 2025-2026.pdf 
[14/11/2025 17:01:45,70] Supprimé: exthost-1c4627.cpuprofile 
[14/11/2025 17:01:45,70] Supprimé: exthost-3f9284.cpuprofile 
[14/11/2025 17:01:45,70] Supprimé: exthost-c000b0.cpuprofile 
[14/11/2025 17:01:45,70] Supprimé: f20d90f1-f057-45a7-aeaf-c5864115fef6.tmp 
[14/11/2025 17:01:45,72] Supprimé: f5172ab0-27e0-4267-9915-9defc0e5fe06.tmp 
[14/11/2025 17:01:45,72] Supprimé: fhmefahl.yzl 
[14/11/2025 17:01:45,72] Supprimé: g3xkzqjb.ntc 
[14/11/2025 17:01:45,72] Supprimé: gdb-server-console-10344.log 
[14/11/2025 17:01:45,72] Supprimé: gdb-server-console-1040.log 
[14/11/2025 17:01:45,72] Supprimé: gdb-server-console-11588.log 
[14/11/2025 17:01:45,73] Supprimé: gdb-server-console-12972.log 
[14/11/2025 17:01:45,73] Supprimé: gdb-server-console-12976.log 
[14/11/2025 17:01:45,73] Supprimé: gdb-server-console-15128.log 
[14/11/2025 17:01:45,73] Supprimé: gdb-server-console-15488.log 
[14/11/2025 17:01:45,73] Supprimé: gdb-server-console-16356.log 
[14/11/2025 17:01:45,73] Supprimé: gdb-server-console-17456.log 
[14/11/2025 17:01:45,75] Supprimé: gdb-server-console-17580.log 
[14/11/2025 17:01:45,75] Supprimé: gdb-server-console-19112.log 
[14/11/2025 17:01:45,75] Supprimé: gdb-server-console-20192.log 
[14/11/2025 17:01:45,75] Supprimé: gdb-server-console-20272.log 
[14/11/2025 17:01:45,75] Supprimé: gdb-server-console-20804.log 
[14/11/2025 17:01:45,75] Supprimé: gdb-server-console-21036.log 
[14/11/2025 17:01:45,75] Supprimé: gdb-server-console-21784.log 
[14/11/2025 17:01:45,77] Supprimé: gdb-server-console-23224.log 
[14/11/2025 17:01:45,77] Supprimé: gdb-server-console-24544.log 
[14/11/2025 17:01:45,77] Supprimé: gdb-server-console-25152.log 
[14/11/2025 17:01:45,77] Supprimé: gdb-server-console-25376.log 
[14/11/2025 17:01:45,77] Supprimé: gdb-server-console-27956.log 
[14/11/2025 17:01:45,77] Supprimé: gdb-server-console-28376.log 
[14/11/2025 17:01:45,78] Supprimé: gdb-server-console-3012.log 
[14/11/2025 17:01:45,78] Supprimé: gdb-server-console-4428.log 
[14/11/2025 17:01:45,78] Supprimé: gdb-server-console-7196.log 
[14/11/2025 17:01:45,78] Supprimé: gdb-server-console-9172.log 
[14/11/2025 17:01:45,78] Supprimé: Groupes POO L2 (2).xlsx 
[14/11/2025 17:01:45,78] Supprimé: Groupes POO L2.xlsx 
[14/11/2025 17:01:45,80] Supprimé: haxm_install-20251108_0425.log 
[14/11/2025 17:01:45,80] Supprimé: hsperfdata_visch 
[14/11/2025 17:01:45,80] Supprimé: is-CQPFQ.tmp 
[14/11/2025 17:01:45,80] Supprimé: is-QBOMF.tmp 
[14/11/2025 17:01:45,80] Supprimé: jusched.log 
[14/11/2025 17:01:45,80] Supprimé: jy5rwtlm.ut4 
[14/11/2025 17:01:45,81] Supprimé: khygxivi.5yn 
[14/11/2025 17:01:45,81] Supprimé: lqh5duzq.jbq 
[14/11/2025 17:01:45,81] Supprimé: mat-debug-10196.log 
[14/11/2025 17:01:45,81] Supprimé: mat-debug-12392.log 
[14/11/2025 17:01:45,81] Supprimé: mat-debug-12632.log 
[14/11/2025 17:01:45,81] Supprimé: mat-debug-13088.log 
[14/11/2025 17:01:45,83] Supprimé: mat-debug-14832.log 
[14/11/2025 17:01:45,83] Supprimé: mat-debug-16776.log 
[14/11/2025 17:01:45,83] Supprimé: mat-debug-17076.log 
[14/11/2025 17:01:45,83] Supprimé: mat-debug-18012.log 
[14/11/2025 17:01:45,83] Supprimé: mat-debug-18768.log 
[14/11/2025 17:01:45,83] Supprimé: mat-debug-18828.log 
[14/11/2025 17:01:45,83] Supprimé: mat-debug-18932.log 
